"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"CadN"	3.26561743104946e-162	0.362301752638671	0.817	0.179	6.45220692026752e-158	"4"	"CadN"
"GstT4"	3.22450705943479e-154	0.319782316953096	0.409	0.048	6.37098104803125e-150	"4"	"GstT4"
"Mdr49"	1.43848371141265e-150	0.315366337810978	0.707	0.143	2.84215611700912e-146	"4"	"Mdr49"
"NetB"	3.31200839095795e-149	0.259931679401746	0.517	0.079	6.54386617885472e-145	"4"	"NetB"
"Ilp41"	2.06848572632424e-147	1.41479474646517	0.969	0.64	4.08691409807142e-143	"4"	"Ilp4"
"ltl"	4.26626290588945e-145	0.371584727989328	0.792	0.184	8.42928224945638e-141	"4"	"ltl"
"Pka-C3"	3.2553320056796e-139	0.294711674696539	0.784	0.188	6.43188497682175e-135	"4"	"Pka-C3"
"CG3036"	1.83331185895122e-136	0.6704143888	0.941	0.337	3.62225757091582e-132	"4"	"CG3036"
"sty"	8.62029750381405e-134	0.565236034939862	0.879	0.287	1.70319838080358e-129	"4"	"sty"
"pigs"	1.31313950127557e-133	0.291934788794399	0.722	0.169	2.59450102662026e-129	"4"	"pigs"
"CG11275"	1.26297615332495e-127	0.308023160020381	0.681	0.162	2.49538828373943e-123	"4"	"CG11275"
"wntD"	4.22600154249719e-124	0.422263365500861	0.589	0.122	8.34973384766595e-120	"4"	"wntD"
"CG14450"	2.81152665765275e-122	0.291956235945374	0.578	0.126	5.5550143701903e-118	"4"	"CG14450"
"tkv"	5.400167416376e-117	0.346677309235922	0.82	0.253	1.06696507812757e-112	"4"	"tkv"
"CG14111"	3.09496945618292e-116	0.740405073862675	0.979	0.501	6.11504065152621e-112	"4"	"CG14111"
"Asph"	3.86651125997084e-107	0.489449908953046	0.923	0.379	7.63945294745038e-103	"4"	"Asph"
"Tmhs"	1.17451251291994e-100	0.336922910837366	0.73	0.226	2.32060182302722e-96	"4"	"Tmhs"
"stg1"	7.99245027696426e-94	0.511108048764148	0.907	0.369	1.5791483257226e-89	"4"	"stg"
"cnn"	2.13697142955483e-92	0.348273621951323	0.792	0.287	4.22222815051443e-88	"4"	"cnn"
"eIF-2gamma"	2.37281427499482e-87	0.371702887798595	0.884	0.371	4.68820644453476e-83	"4"	"eIF-2gamma"
"Su(var)3-9"	4.4488030628374e-87	0.454254661799228	0.882	0.397	8.78994509155414e-83	"4"	"Su(var)3-9"
"net"	3.72624523611192e-83	0.3671564277808	0.864	0.317	7.36231533750993e-79	"4"	"net"
"Traf4"	1.13467990280234e-81	0.35593512726641	0.879	0.365	2.24190055195687e-77	"4"	"Traf4"
"HmgD1"	1.10288609742085e-79	0.423688796180347	1	0.964	2.17908235128411e-75	"4"	"HmgD"
"l(2)06496"	4.90186597747718e-77	0.292317679632002	0.774	0.293	9.68510679829941e-73	"4"	"l(2)06496"
"Mes4"	1.04243323328896e-74	0.373837841113481	0.866	0.382	2.05963958233232e-70	"4"	"Mes4"
"CG9005"	3.79144638945591e-73	0.414533317347057	0.931	0.483	7.491139776287e-69	"4"	"CG9005"
"SNCF"	9.18008386016042e-71	0.531069142769305	0.943	0.476	1.8138009690905e-66	"4"	"SNCF"
"edl"	2.12784752197459e-67	0.25608436260567	0.635	0.213	4.20420113391739e-63	"4"	"edl"
"HmgZ1"	1.29283351160838e-66	0.504564566116494	0.995	0.793	2.55438045223585e-62	"4"	"HmgZ"
"RnpS1"	8.13950368737493e-64	0.367651744842623	0.913	0.465	1.60820313855154e-59	"4"	"RnpS1"
"Su(var)2051"	8.4006874302586e-63	0.402171494958995	0.995	0.863	1.65980782247049e-58	"4"	"Su(var)205"
"bou"	3.5346775052458e-60	0.394509291787219	0.941	0.516	6.98381581486464e-56	"4"	"bou"
"CG31800"	2.54466626508256e-56	0.25372632231188	0.861	0.38	5.02775160655011e-52	"4"	"CG31800"
"ogre"	9.47029570907914e-56	0.393212468883019	0.961	0.58	1.87114102619986e-51	"4"	"ogre"
"Ran1"	6.76627458076328e-53	0.323041519335055	1	0.906	1.33688053166721e-48	"4"	"Ran"
"Uhg4"	9.32323792244575e-53	0.317646799802054	0.907	0.474	1.84208534871683e-48	"4"	"Uhg4"
"RnrS"	1.35404648246362e-51	0.400407286407273	0.967	0.606	2.67532504005163e-47	"4"	"RnrS"
"Uhg3"	3.88095145890918e-51	0.255734317653209	0.871	0.406	7.66798389251275e-47	"4"	"Uhg3"
"Ama"	3.10908683673911e-49	0.406609006489645	0.99	0.732	6.14293377202912e-45	"4"	"Ama"
"CG2915"	7.13096165388844e-48	0.308247647885678	0.936	0.534	1.40893540357528e-43	"4"	"CG2915"
"CG32066"	1.01335254305289e-47	0.250007829628428	0.918	0.489	2.00218195456389e-43	"4"	"CG32066"
"hoip"	2.87962815776591e-47	0.283342750395571	0.871	0.437	5.68956931411388e-43	"4"	"hoip"
"CG134541"	4.72943387659651e-47	0.317213060841289	0.938	0.511	9.34441545337939e-43	"4"	"CG13454"
"RpII18"	2.0055551891356e-43	0.270228720840115	0.961	0.524	3.96257594269412e-39	"4"	"RpII18"
"Oda2"	3.18368180116682e-42	0.341889910033399	1	0.847	6.29031850274541e-38	"4"	"Oda"
"His4r2"	1.38841244715889e-41	0.317682670553703	1	0.899	2.74322531309653e-37	"4"	"His4r"
"CG42762"	4.75794073856531e-41	0.322407534342816	0.923	0.498	9.40073931125735e-37	"4"	"CG42762"
"CG19432"	1.18479267657935e-40	0.322034937083342	0.997	0.843	2.34091337038548e-36	"4"	"CG1943"
"SkpA1"	1.09011525999588e-39	0.304350664455496	0.99	0.792	2.15384973069985e-35	"4"	"SkpA"
"CG6767"	9.34677975166716e-39	0.260581193685044	0.949	0.564	1.8467367433344e-34	"4"	"CG6767"
"His2Av1"	2.53275318117033e-38	0.266392748185742	1	0.932	5.00421373535634e-34	"4"	"His2Av"
"smt31"	1.33983817811141e-37	0.27133498796361	1	0.949	2.64725227231253e-33	"4"	"smt3"
"l(1)10Bb"	1.06280542791983e-36	0.284080855441138	0.954	0.56	2.09989096448399e-32	"4"	"l(1)10Bb"
"CycA"	1.43505455899997e-36	0.257034010538329	0.959	0.57	2.83538079767213e-32	"4"	"CycA"
